gambar,stadium
10253_idx5_x501_y351_class1.png,1
10253_idx5_x501_y351_class2.png,1
10253_idx5_x501_y351_class3.png,1
10253_idx5_x501_y351_class4.png,1
abienofefbbcunxzgpol.jpg,1
abienofefbbcunxzgpol1.jpg,1
abienofefbbcunxzgpol2.jpg,1
abienofefbbcunxzgpol3.jpg,1
akbhalbfzhtrhhupxack.jpg,1
akbhalbfzhtrhhupxack1.jpg,1
akbhalbfzhtrhhupxack2.jpg,1
akfcuspuesvspynxpble.jpg,1
akfcuspuesvspynxpble1.jpg,1
akfcuspuesvspynxpble2.jpg,1
akfcuspuesvspynxpble3.jpg,1
amkttcumxxqslggcsphu.jpg,1
amkttcumxxqslggcsphu1.jpg,1
amkttcumxxqslggcsphu2.jpg,1
amkttcumxxqslggcsphu3.jpg,1
amqfoxxvefvqalotagqz.jpg,1
amqfoxxvefvqalotagqz1.jpg,1
amqfoxxvefvqalotagqz3.jpg,1
ayziftbzeegqixinawbj.jpg,1
ayziftbzeegqixinawbj1.jpg,1
ayziftbzeegqixinawbj2.jpg,1
ayziftbzeegqixinawbj3.jpg,1
bgqmdlupcqfczqvtczvj.jpg,1
bgqmdlupcqfczqvtczvj1.jpg,1
bgqmdlupcqfczqvtczvj2.jpg,1
bgqmdlupcqfczqvtczvj3.jpg,1
bmtkxaexkyfcrvwctwkg.jpg,1
bmtkxaexkyfcrvwctwkg2.jpg,1
bmtkxaexkyfcrvwctwkg3.jpg,1
bohmgzcnwcjutxbjdxob.jpg,1
bohmgzcnwcjutxbjdxob1.jpg,1
bohmgzcnwcjutxbjdxob2.jpg,1
bohmgzcnwcjutxbjdxob3.jpg,1
bpjsjnwcvbtxhxisnupr.jpg,1
bpjsjnwcvbtxhxisnupr1.jpg,1
bpjsjnwcvbtxhxisnupr2.jpg,1
bpjsjnwcvbtxhxisnupr3.jpg,1
btlgxuskrhzqzbjexsmi.jpg,1
btlgxuskrhzqzbjexsmi1.jpg,1
btlgxuskrhzqzbjexsmi2.jpg,1
btlgxuskrhzqzbjexsmi3.jpg,1
bwjxfgiavboicjxkoguk (2).jpg,1
